MakeValue|ModelValue|ModelGroup|Model_Description|MotorType|SumInsured|ClaimTypeValue|CC|Seat|Weight|AgeDriver|AgeCar|AgeCarMax|BasePremium|MainPremium|EndorsePremium01|EndorsePremium02|EndorsePremium03|DriverDiscountRate|DriverDiscount|GroupDiscountRate|GroupDiscountAmt|HistoryDiscountRate|HistoryDiscountAmt|OtherDiscountRate|OtherDiscountAmt|PlusPremium1|PlusPremium2|NetPremium|Stamp|VAT|TotalPremium|DeductAmt|FIRE&THEFT|TPPI_P|TPPI_C|TPPD|Bail Bond|PA_Driver|PA_Passengers|MED|CommissionRate|PromotionDiscountRate|PromotionDiscountAmt|PromotionEffectiveDate|PromotionExpiryDate|CarGroup|ProductType
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Man 6sp RWD 2.8DCT|110|670000|02|2800|7|||1|5||||||||||||||||19082.00|77.00|1341.13|20500.00||670000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Man 6sp 4WD 2.8DCT|110|740000|02|2800|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||740000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Auto 6sp RWD 2.8DCT|110|720000|02|2800|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||720000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Colorado_4DR|Colorado|Pickup 4dr DCab LTZ Z71 Auto 6sp 4WD 2.8DCT|110|790000|02|2800|7|||1|5||||||||||||||||20478.00|82.00|1439.20|22000.00||790000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LS 7st Tiptronic 6sp FWD 2.4i|110|950000|02|2400|7|||1|5||||||||||||||||23271.00|94.00|1635.55|25000.00||950000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LSX 7st Tiptronic 6sp FWD 2.0DCT|110|1120000|02|2000|7|||1|5||||||||||||||||26063.00|105.00|1831.76|28000.00||1120000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LT 7st Tiptronic 6sp 4WD 2.4i|110|1200000|02|2400|7|||1|5||||||||||||||||26063.00|105.00|1831.76|28000.00||1200000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Captiva|Captiva|Wagon 4dr LSX 7st Tiptronic 6sp FWD 2.4i|110|1020000|02|2400|7|||1|5||||||||||||||||24667.00|99.00|1733.62|26500.00||1020000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 5sp RWD 2.5|110|870000|02|2500|7|||1|5||||||||||||||||21875.00|88.00|1537.41|23500.00||870000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
Chevrolet|Trailblazer|Trailblazer|Wagon 4dr LT 6sp RWD 2.8|110|950000|02|2800|7|||1|5||||||||||||||||23271.00|94.00|1635.55|25000.00||950000|1000000.00|10000000.00|2500000.00|200000.00|100000.00|100000.00|100000.00|23.00%|||||3|1
